      x1      y1      x2      y2      x3      y3   api_r     res    TEST
     0.0     5.7   -75.0   -39.0    -9.5     8.9   310.5   332.3    FAIL
   -47.0    -4.8     5.3    10.3     2.5     3.6   161.0   154.1    FAIL
    14.2    43.0     0.0    -5.2   -98.0    11.0  2464.0  2476.8    FAIL
    -6.0     5.8   -33.0    -5.1   -12.1    19.0   219.0   211.4    FAIL
    13.8    16.2    -2.9   -13.9     4.8   -12.1    79.5   100.9    FAIL
    -3.8     1.1    -1.4   -15.8    25.0     8.4   231.0   252.1    FAIL
   -11.2    -8.7    -9.3   -10.4   -31.0   -14.0    26.0    21.9    FAIL
     6.4    -1.4     0.7    -0.1    16.2    -6.4    10.0     7.9    FAIL
   -12.3    -3.5    17.6    -4.8   -11.7     8.3   160.0   176.8    FAIL
     8.2   -24.3   -16.8    -5.6   -26.7   -11.3   167.0   163.8    FAIL
    -6.8    -2.0    11.0    -5.4     1.0    -1.4    19.0    18.6    FAIL
     7.1    47.0    -6.8     9.2    13.0    -0.8   419.5   443.7    FAIL
   -14.2    24.5     8.6     4.8   -23.7    47.0   163.0   162.9    FAIL
    98.0     7.5     4.1     8.0    -7.1    -5.5   616.5   636.6    FAIL
     0.5   -12.0     0.2    13.0   -18.0    11.9   225.0   227.7    FAIL
   -48.0    28.7    18.7    -7.6   -34.0   -63.0  2758.0  2804.1    FAIL
     7.8     8.3   -16.6    -0.2   -45.5     7.0   196.5   210.7    FAIL
    12.0     3.5    16.5     2.5    -6.2    -2.9    19.0    23.5    FAIL
    -0.5     9.8     3.5    14.2    -7.0     7.2    14.5     9.1    FAIL
     9.2    22.8    -6.0    15.0    54.0    -0.4   322.5   351.0    FAIL
   -10.4    -1.2    11.5    36.0     7.3    -6.9   367.0   391.6    FAIL
   -31.0     3.6    -0.3    -7.0     7.6   -40.5   476.5   472.4    FAIL
   -23.3     0.9     3.8   -13.3    -9.3    -7.1     0.0     9.0    FAIL
   -11.2    -3.3   -14.2     7.0   -41.5    -8.2   157.5   163.4    FAIL
    32.3     6.8     0.0    13.3    -6.9    -5.8   309.0   330.9    FAIL
   -23.8     7.0    -8.1    -3.0    -8.6    17.0   150.0   154.5    FAIL
    19.0     4.8     7.8    -4.2    31.5     4.5    48.0    57.9    FAIL
    30.0     8.8    14.7    -7.0    -4.2   -10.0   111.0   126.4    FAIL
    16.0   -93.0   -11.0    -5.7     9.8    24.0  1271.5  1308.9    FAIL
    34.0    12.5   -21.7    38.5    -1.2   -20.0  1335.0  1362.7    FAIL
     8.8    16.0     0.4    -2.5   -61.0    -2.7   549.0   567.1    FAIL
    -7.8    -4.0    11.6    -6.4    -6.8   -16.0   107.0   115.2    FAIL
    10.3    10.4     1.1   -33.5    -5.0    -8.1   241.5   250.7    FAIL
    28.3   -11.3    13.3    13.6    -3.8    -5.8   327.0   358.4    FAIL
    39.5     6.8    -0.8    14.0   -18.8     5.0   247.5   246.1    FAIL
    32.0    -0.7    99.0     8.8    -5.0    26.3  1019.0  1080.2    FAIL
     0.8    -1.8    42.5    12.8    -4.7    -8.2   121.0    93.3    FAIL
    20.5     9.7   -49.0    14.2     8.0     9.8    30.0    24.6    FAIL
   -11.4    36.0     2.1     6.5     2.0    -7.2    84.5    93.9    FAIL
    -0.8     4.6    10.2    -9.4     6.4    -5.0     6.0     2.4    FAIL
     0.8   -46.0   -17.5    11.0     7.0     2.8   607.5   623.2    FAIL
    -3.1   -16.3     5.0    10.9   -10.8   -11.7   111.0   123.4    FAIL
    -7.4   -10.3   -11.5     7.9     6.0     7.0   144.5   157.4    FAIL
    -1.4     4.7     4.0     8.6     3.0     0.0    18.0    21.3    FAIL
    -1.0     1.3    -1.8    11.9    17.4   -18.0    90.0    89.8    FAIL
    44.5    -9.1    14.8     1.0    12.5    -8.0   145.0   145.3    FAIL
     2.4    16.0   -14.0    25.0    -6.5    -2.1   180.0   188.5    FAIL
     6.8    -2.3   -19.8    -2.0     5.9    -6.0    50.0    49.3    FAIL
   -20.0   -11.0   -16.0    -3.8    -4.6    38.5    34.0    43.6    FAIL
     2.2    -5.0   -76.0   -10.8     4.8   -20.0   590.0   594.0    FAIL
    -2.9    -6.0   -41.0    -7.2   -31.0    61.0  1321.0  1293.2    FAIL
    -0.6    -1.8     9.8   -21.3    -7.0    -5.1    88.0    79.6    FAIL
    -9.0    33.0    -3.6     6.0     1.0    10.8    66.0    75.1    FAIL
   -20.5     7.2     4.7     0.6    17.8    70.0   885.5   917.7    FAIL
     6.0   -14.8   -10.9    28.7   -15.0   -10.5   409.0   420.4    FAIL
    -6.0    -2.3    32.0     4.8     3.3     2.0    49.0    48.7    FAIL
    -6.1    -6.5    -7.4     0.3    11.3   -70.0    19.0    17.9    FAIL
    -7.5   -18.2     7.1     4.0    17.8    -3.0   159.0   169.9    FAIL
     6.3   -28.3    12.7   -13.2    -2.9   -25.0    69.0    80.0    FAIL
    -0.9    32.0    10.8   -34.5    25.0    -9.5   620.0   618.4    FAIL
    -4.0    10.1    33.0     0.7   -10.4   -10.8   400.0   416.7    FAIL
    19.4    -3.6     9.8   -80.0     4.6   -81.0   187.5   193.8    FAIL
   -18.8    16.2   -16.8     9.6    24.5    10.1   141.0   136.8    FAIL
    29.7     7.4    -2.0    -0.9    -4.2    32.0   503.0   530.6    FAIL
   -16.2    -6.9    12.8    13.5    -6.2    12.1   157.0   173.5    FAIL
    -5.2     3.8   -10.8     9.1    -0.2     1.6    10.0     7.1    FAIL
    10.5    -0.2    10.3    15.0    11.1   -37.0     7.5     0.9    FAIL
    -4.2     2.0    18.0    -1.4     8.8    12.4   128.0   137.5    FAIL
    10.9    21.2    -1.4    47.5    -8.1     6.5   316.5   340.3    FAIL
     8.8    10.9     9.2    34.0     2.4    58.0    96.0    83.3    FAIL
     4.1    -8.3    50.0    -2.3    15.7   -24.2   401.0   399.7    FAIL
     9.8   -22.0    12.0    36.0    -8.2   -15.8   503.5   528.8    FAIL
   -32.5    -9.0     2.8    -3.7     1.7    -8.1    82.0    74.7    FAIL
    -5.7    -4.9    -6.8    33.5    82.0    -4.8  1609.5  1683.9    FAIL
    -6.7     4.6    34.0   -18.5    -1.7    14.0   255.0   249.0    FAIL
    11.3     9.6     5.8    27.0     7.9     9.0    36.0    31.2    FAIL
